ANIO|AVALOR|ALCALDIA|VALOR|ADD
2026|A011742|01|1457.06|A
2026|A011753|01|3767.83|A
2026|A011763|01|3846.39|A
2026|A011773|01|3928.63|A
2026|A011783|01|3846.39|A
2026|A011793|01|3920.43|A
2026|A011803|01|3920.43|A
2026|A011813|01|3920.43|A
2026|A011823|01|3771.10|A
2026|A011833|01|3920.43|A
2026|A011843|01|3920.43|A
2026|A011853|01|4620.30|A
2026|A011863|01|3699.88|A
2026|A011879|01|4634.61|A
2026|A011883|01|2982.28|A
2026|A011893|01|3296.77|A
2026|A011901|01|2208.37|A
2026|A011911|01|1495.79|A
2026|A011923|01|3142.65|A
2026|A011934|01|5790.58|A
2026|A011942|01|3615.93|A
2026|A011953|01|2117.51|A
2026|A011962|01|3806.38|A
2026|A011972|01|3240.68|A
2026|A011981|01|1158.66|A
2026|A011993|01|5049.74|A
2026|A012001|01|1877.36|A
2026|A012013|01|2622.82|A
2026|A012022|01|2914.41|A
2026|A012032|01|3533.80|A
2026|A012043|01|9598.59|A
2026|A012053|01|2924.05|A
2026|A012062|01|3565.72|A
2026|A012074|01|5116.14|A
2026|A012081|01|1685.70|A
2026|A012099|01|257.99|A
2026|A012109|01|3741.61|A
2026|A012111|01|1885.00|A
2026|A012121|01|2087.06|A
2026|A012135|01|1354.39|A
2026|A012143|01|4645.94|A
2026|A012153|01|3920.43|A
2026|A012163|01|3920.43|A
2026|A012173|01|3771.10|A
2026|A012181|01|1335.48|A
2026|A020018|02|3442.46|A
2026|A020022|02|2229.50|A
2026|A020032|02|2294.67|A
2026|A020042|02|3101.73|A
2026|A020058|02|2946.61|A
2026|A020062|02|2279.39|A
2026|A020072|02|2902.83|A
2026|A020083|02|3480.78|A
2026|A020093|02|3211.30|A
2026|A020108|02|3089.61|A
2026|A020112|02|3232.47|A
2026|A020123|02|2772.33|A
2026|A020132|02|3143.30|A
2026|A020143|02|2811.01|A
2026|A020152|02|3252.42|A
2026|A020162|02|2523.99|A
2026|A020173|02|2787.68|A
2026|A020183|02|3841.36|A
2026|A020198|02|3378.01|A
2026|A020207|02|2961.40|A
2026|A020212|02|3399.33|A
2026|A020223|02|2870.56|A
2026|A020237|02|3183.17|A
2026|A020242|02|2652.27|A
2026|A020252|02|2692.65|A
2026|A020262|02|2949.08|A
2026|A020273|02|3342.33|A
2026|A020282|02|2958.53|A
2026|A020292|02|2704.69|A
2026|A020303|02|3713.07|A
2026|A020312|02|2188.53|A
2026|A020322|02|3183.40|A
2026|A020333|02|2948.11|A
2026|A020343|02|3249.57|A
2026|A020352|02|1813.67|A
2026|A020363|02|2360.77|A
2026|A020372|02|2116.37|A
2026|A020382|02|3552.44|A
2026|A020392|02|5381.80|A
2026|A020402|02|3988.67|A
2026|A020413|02|3895.99|A
2026|A020423|02|2661.62|A
2026|A020437|02|2778.24|A
2026|A020442|02|2866.11|A
2026|A020452|02|2205.37|A
2026|A020467|02|2352.79|A
2026|A020477|02|2491.17|A
2026|A020482|02|2732.04|A
2026|A020492|02|2241.33|A
2026|A030013|03|6345.47|A
2026|A030025|03|10143.55|A
